ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848978::Type  [read only],1075849017::Attribute,1075849056::Physical Data Type,1075849060::Percent Null,1075849062::Null Option,1075849102::View Column Expression,1075849115::Empty Is Null,1075849117::Read Only,1075849121::Data Sources  [read only],1075849122::DS Comment,1075849125::Row GUID,1075849131::Physical Order  [read only],1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849201::Logical Data Type,1075849452::Domain Parent,1075849722::Is Not For Replication,1075849731::Font Color,1075849769::Generated Identity,1075849842::Color Is Inherited,1075849843::Font Inherited,1075849998::Font Size,1075849999::Font Bold,1075850000::Font Italic,1075850008::Update Attribute Definition to Match,1075850017::Starting Value,1075850018::Increment By,1075850085::Attribute Order  [read only],1075850088::Column Order  [read only],1075850089::Theme,1075850186::Expression,1075850193::Dependent Objects  [read only],1075850237::Logical Lead Attribute  [read only],1075850245::Physical Lead Attribute  [read only],1075850297::Font Charset,1075850516::User Formatted Name  [read only],1075850521::Check Constraint Inheritance Prohibited,1075850522::Default Constraint Inheritance Prohibited,1075850564::Collation,1075850637::Populate All Rows With Default Value,1075850700::Persisted,1075850734::XML Document Type,1075850736::XML Schema Collection,1075850744::Sparse,1075851000::Is Filestream,1075851001::Is Sparse Column Set,1075851147::Font,1075851148::Font Name,1075851149::Font Strikethrough,1075851150::Font Underscore,1075851212::Average Width,1075851250::Is Encrypted,1075851720::Image,1075852278::Extended Notes Order  [read only],1075852305::Column Mask Function,1075852321::Column Encryption Key,1075852322::Encryption Type,1075852340::Hidden,1075852464::Password,1075852560::PII,1075853568::Column Class,1075853916::Attribute Data Vault Complaincy,1092616196::Attribute.Physical.Description
"1075838981::573","IsUndersupplyBackordered",Column,"","IsUndersupplyBackordered","Non Primary Key","","bit","","Null","","","","","","","6","","","","","","IsUndersupplyBackordered","SMALLINT","Number","","8470830","","","","10","false","false","","","","6","6","","","OrderList","","","Western","IsUndersupplyBackordered","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::574","Comments",Column,"","Comments","Non Primary Key","","nvarchar(max)","","Null","","","","","","","7","","","","","","Comments","NVARCHAR","String","","8470830","","","","10","false","false","","","","7","7","","","OrderList","","","Western","Comments","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","false","","","","",""
"1075838981::575","DeliveryInstructions",Column,"","DeliveryInstructions","Non Primary Key","","nvarchar(max)","","Null","","","","","","","8","","","","","","DeliveryInstructions","NVARCHAR","String","","8470830","","","","10","false","false","","","","8","8","","","OrderList","","","Western","DeliveryInstructions","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","false","","","","",""
"1075838981::577","SensorDataListID",Column,"","SensorDataListID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","SensorDataListID","INTEGER","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","SensorDataList,SensorDataListID","","","Western","SensorDataListID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::578","ColdRoomSensorNumber",Column,"","ColdRoomSensorNumber","Non Primary Key","","int","","Null","","","","","","","2","","","","","","ColdRoomSensorNumber","INTEGER","Number","","8470830","","","","10","false","false","","","","2","2","","","SensorDataList","","","Western","ColdRoomSensorNumber","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::579","RecordedWhen",Column,"","RecordedWhen","Non Primary Key","","datetime2(7)","","Null","","","","","","","3","","","","","","RecordedWhen","DATE","Datetime","","8470830","","","","10","false","false","","","","3","3","","","SensorDataList","","","Western","RecordedWhen","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::580","Temperature",Column,"","Temperature","Non Primary Key","","decimal(18,2)","","Null","","","","","","","4","","","","","","Temperature","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","4","4","","","SensorDataList","","","Western","Temperature","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::582","BuyingGroupID",Column,"","BuyingGroupID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","BuyingGroupID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","BuyingGroups,BuyingGroupID,BuyingGroupID,BuyingGroupID","","","Western","BuyingGroupID","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a buying group within the database"
"1075838981::583","BuyingGroupName",Column,"","BuyingGroupName","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","","BuyingGroupName","NVARCHAR(50)","String","","0","","","","10","false","false","","","","2","2","","","BuyingGroups,BuyingGroupName,BuyingGroupName","","","Western","BuyingGroupName","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","25","","Default String Icon","","","","","false","","","","","Full name of a buying group that customers can be members of"
"1075838981::584","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","3","PersonID","FK_Sales_BuyingGroups_Application_People (People to BuyingGroups)","","","","LastEditedBy","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","BuyingGroups,LastEditedBy","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a person within the database"
"1075838981::585","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","4","","","","","","ValidFrom","DATE","Datetime","","8470830","","","","10","false","false","","","","4","4","","","BuyingGroups","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::586","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","5","","","","","","ValidTo","DATE","Datetime","","8470830","","","","10","false","false","","","","5","5","","","BuyingGroups","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::595","BuyingGroupID",Column,"","BuyingGroupID","Non Primary Key","","int","","Not Null","","","","","","","1","","","","","","BuyingGroupID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","BuyingGroups_Archive","","","Western","BuyingGroupID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::596","BuyingGroupName",Column,"","BuyingGroupName","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","","BuyingGroupName","NVARCHAR(50)","String","","8470830","","","","10","false","false","","","","2","2","","","BuyingGroups_Archive","","","Western","BuyingGroupName","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","false","","","","",""
"1075838981::597","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","3","","","","","","LastEditedBy","INTEGER","Number","","8470830","","","","10","false","false","","","","3","3","","","BuyingGroups_Archive","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::598","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","4","","","","","","ValidFrom","DATE","Datetime","","0","","","","10","false","false","","","","4","4","","","BuyingGroups_Archive,ValidFrom","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::599","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","5","","","","","","ValidTo","DATE","Datetime","","0","","","","10","false","false","","","","5","5","","","BuyingGroups_Archive,ValidTo","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::605","CityID",Column,"","CityID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","CityID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","Cities,CityID,DeliveryCityID,PostalCityID,DeliveryCityID,PostalCityID,DeliveryCityID,PostalCityID","","","Western","CityID","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a city within the database"
"1075838981::606","CityName",Column,"","CityName","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","","CityName","NVARCHAR(50)","String","","8470830","","","","10","false","false","","","","2","2","","","Cities,CityName,CityName","","","Western","CityName","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","17","","Default String Icon","","","","","false","","","","","Formal name of the city"
"1075838981::607","StateProvinceID",Column,"","StateProvinceID","Non Primary Key","","int","","Not Null","","","","","","","3","StateProvinceID","FK_Application_Cities_StateProvinceID_Application_StateProvinces (StateProvinces to Cities)","","","","StateProvinceID","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","Cities,StateProvinceID","","","Western","StateProvinceID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","State or province for this city"
"1075838981::608","Location",Column,"","Location","Non Primary Key","","geography","0","Null","","","","","","","4","","","","","","Location","SPATIAL","_default_","","8470830","","","","10","false","false","","","","4","4","","","Cities","","","Western","Location","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default <unknown> Icon","","","","","false","","","","","Geographic location of the city"
"1075838981::609","LatestRecordedPopulation",Column,"","LatestRecordedPopulation","Non Primary Key","","bigint","30","Null","","","","","","","5","","","","","","LatestRecordedPopulation","HUGE","Number","","8470830","","","","10","false","false","","","","5","5","","","Cities","","","Western","LatestRecordedPopulation","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Latest available population for the City"
"1075838981::610","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","6","PersonID","FK_Application_Cities_Application_People (People to Cities)","","","","LastEditedBy","INTEGER","Number","","12470272","","","","10","false","false","","","","6","6","","","Cities,LastEditedBy","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a person within the database"
"1075838981::611","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","7","","","","","","ValidFrom","DATE","Datetime","","8470830","","","","10","false","false","","","","7","7","","","Cities","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::612","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","8","","","","","","ValidTo","DATE","Datetime","","8470830","","","","10","false","false","","","","8","8","","","Cities","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::621","CityID",Column,"","CityID","Non Primary Key","","int","","Not Null","","","","","","","1","","","","","","CityID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","Cities_Archive","","","Western","CityID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::622","CityName",Column,"","CityName","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","","CityName","NVARCHAR(50)","String","","8470830","","","","10","false","false","","","","2","2","","","Cities_Archive","","","Western","CityName","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","18","","Default String Icon","","","","","false","","","","",""
"1075838981::623","StateProvinceID",Column,"","StateProvinceID","Non Primary Key","","int","","Not Null","","","","","","","3","","","","","","StateProvinceID","INTEGER","Number","","8470830","","","","10","false","false","","","","3","3","","","Cities_Archive","","","Western","StateProvinceID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::624","Location",Column,"","Location","Non Primary Key","","geography","0","Null","","","","","","","4","","","","","","Location","SPATIAL","_default_","","8470830","","","","10","false","false","","","","4","4","","","Cities_Archive","","","Western","Location","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default <unknown> Icon","","","","","false","","","","",""
"1075838981::625","LatestRecordedPopulation",Column,"","LatestRecordedPopulation","Non Primary Key","","bigint","40","Null","","","","","","","5","","","","","","LatestRecordedPopulation","HUGE","Number","","8470830","","","","10","false","false","","","","5","5","","","Cities_Archive","","","Western","LatestRecordedPopulation","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::626","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","6","","","","","","LastEditedBy","INTEGER","Number","","8470830","","","","10","false","false","","","","6","6","","","Cities_Archive","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::627","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","7","","","","","","ValidFrom","DATE","Datetime","","0","","","","10","false","false","","","","7","7","","","Cities_Archive,ValidFrom","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::628","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","8","","","","","","ValidTo","DATE","Datetime","","0","","","","10","false","false","","","","8","8","","","Cities_Archive,ValidTo","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::634","ColdRoomTemperatureID",Column,"","ColdRoomTemperatureID","Primary Key","","bigint","","Not Null","","","","","","","1","","","","","","ColdRoomTemperatureID","HUGE","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","ColdRoomTemperatures,ColdRoomTemperatureID","","","Western","ColdRoomTemperatureID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::635","ColdRoomSensorNumber",Column,"","ColdRoomSensorNumber","Non Primary Key","","int","","Not Null","","","","","","","2","","","","","","ColdRoomSensorNumber","INTEGER","Number","","0","","","","10","false","false","","","","2","2","","","ColdRoomTemperatures,ColdRoomSensorNumber","","","Western","ColdRoomSensorNumber","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::636","RecordedWhen",Column,"","RecordedWhen","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","3","","","","","","RecordedWhen","DATE","Datetime","","8470830","","","","10","false","false","","","","3","3","","","ColdRoomTemperatures","","","Western","RecordedWhen","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::637","Temperature",Column,"","Temperature","Non Primary Key","","decimal(10,2)","","Not Null","","","","","","","4","","","","","","Temperature","DECIMAL(10,2)","Number","","8470830","","","","10","false","false","","","","4","4","","","ColdRoomTemperatures","","","Western","Temperature","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","",""
"1075838981::638","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","5","","","","","","ValidFrom","DATE","Datetime","","8470830","","","","10","false","false","","","","5","5","","","ColdRoomTemperatures","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::639","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","6","","","","","","ValidTo","DATE","Datetime","","8470830","","","","10","false","false","","","","6","6","","","ColdRoomTemperatures","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::643","ColdRoomTemperatureID",Column,"","ColdRoomTemperatureID","Non Primary Key","","bigint","","Not Null","","","","","","","1","","","","","","ColdRoomTemperatureID","HUGE","Number","","8470830","","","","10","false","false","","","","1","1","","","ColdRoomTemperatures_Archive","","","Western","ColdRoomTemperatureID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::644","ColdRoomSensorNumber",Column,"","ColdRoomSensorNumber","Non Primary Key","","int","","Not Null","","","","","","","2","","","","","","ColdRoomSensorNumber","INTEGER","Number","","8470830","","","","10","false","false","","","","2","2","","","ColdRoomTemperatures_Archive","","","Western","ColdRoomSensorNumber","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::645","RecordedWhen",Column,"","RecordedWhen","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","3","","","","","","RecordedWhen","DATE","Datetime","","8470830","","","","10","false","false","","","","3","3","","","ColdRoomTemperatures_Archive","","","Western","RecordedWhen","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::646","Temperature",Column,"","Temperature","Non Primary Key","","decimal(10,2)","","Not Null","","","","","","","4","","","","","","Temperature","DECIMAL(10,2)","Number","","8470830","","","","10","false","false","","","","4","4","","","ColdRoomTemperatures_Archive","","","Western","Temperature","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","",""
"1075838981::647","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","5","","","","","","ValidFrom","DATE","Datetime","","0","","","","10","false","false","","","","5","5","","","ColdRoomTemperatures_Archive,ValidFrom","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::648","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","6","","","","","","ValidTo","DATE","Datetime","","0","","","","10","false","false","","","","6","6","","","ColdRoomTemperatures_Archive,ValidTo","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::654","ColorID",Column,"","ColorID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","ColorID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","Colors,ColorID,ColorID","","","Western","ColorID","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a color within the database"
"1075838981::655","ColorName",Column,"","ColorName","Non Primary Key","","nvarchar(20)","","Not Null","","","","","","","2","","","","","","ColorName","NVARCHAR(20)","String","","0","","","","10","false","false","","","","2","2","","","Colors,ColorName","","","Western","ColorName","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","12","","Default String Icon","","","","","false","","","","","Full name of a color that can be used to describe stock items"
