ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only],1075848978::Type  [read only],1075849017::Attribute,1075849056::Physical Data Type,1075849060::Percent Null,1075849062::Null Option,1075849102::View Column Expression,1075849115::Empty Is Null,1075849117::Read Only,1075849121::Data Sources  [read only],1075849122::DS Comment,1075849125::Row GUID,1075849131::Physical Order  [read only],1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849172::Physical Only,1075849173::Logical Only,1075849201::Logical Data Type,1075849452::Domain Parent,1075849722::Is Not For Replication,1075849731::Font Color,1075849769::Generated Identity,1075849842::Color Is Inherited,1075849843::Font Inherited,1075849998::Font Size,1075849999::Font Bold,1075850000::Font Italic,1075850008::Update Attribute Definition to Match,1075850017::Starting Value,1075850018::Increment By,1075850085::Attribute Order  [read only],1075850088::Column Order  [read only],1075850089::Theme,1075850186::Expression,1075850237::Logical Lead Attribute  [read only],1075850245::Physical Lead Attribute  [read only],1075850297::Font Charset,1075850521::Check Constraint Inheritance Prohibited,1075850522::Default Constraint Inheritance Prohibited,1075850564::Collation,1075850637::Populate All Rows With Default Value,1075850700::Persisted,1075850734::XML Document Type,1075850736::XML Schema Collection,1075850744::Sparse,1075851000::Is Filestream,1075851001::Is Sparse Column Set,1075851147::Font,1075851148::Font Name,1075851149::Font Strikethrough,1075851150::Font Underscore,1075851212::Average Width,1075851250::Is Encrypted,1075851720::Image,1075852305::Column Mask Function,1075852321::Column Encryption Key,1075852322::Encryption Type,1075852340::Hidden,1075852464::Password,1075852560::PII,1075853568::Column Class,1075853916::Attribute Data Vault Complaincy
"1075838981::571","PostTime",Column,"The date and time the DDL change occurred.","PostTime","The date and time the DDL change occurred.","PostTime","DatabaseLog","PostTime","","Non Primary Key","","datetime","","Not Null","","","","","","","2","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","2","2","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::572","DatabaseUser",Column,"The user who implemented the DDL change.","DatabaseUser","The user who implemented the DDL change.","DatabaseUser","DatabaseLog","DatabaseUser","","Non Primary Key","","sysname","","Not Null","","","","","","","3","","","","","VARCHAR","String","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::573","Event",Column,"The type of DDL statement that was executed.","Event","The type of DDL statement that was executed.","Event","DatabaseLog","Event","","Non Primary Key","","sysname","","Not Null","","","","","","","4","","","","","VARCHAR","String","","8470830","","","","10","false","false","","","","4","4","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::574","Schema",Column,"The schema to which the changed object belongs.","Schema","The schema to which the changed object belongs.","Schema","DatabaseLog","Schema","","Non Primary Key","","sysname","1","Null","","","","","","","5","","","","","VARCHAR","String","","8470830","","","","10","false","false","","","","5","5","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::575","Object",Column,"The object that was changed by the DDL statment.","Object","The object that was changed by the DDL statment.","Object","DatabaseLog","Object","","Non Primary Key","","sysname","0","Null","","","","","","","6","","","","","VARCHAR","String","","8470830","","","","10","false","false","","","","6","6","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::576","TSQL",Column,"The exact Transact-SQL statement that was executed.","TSQL","The exact Transact-SQL statement that was executed.","TSQL","DatabaseLog","TSQL","","Non Primary Key","","nvarchar(max)","","Not Null","","","","","","","7","","","","","NVARCHAR","String","","8470830","","","","10","false","false","","","","7","7","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","548","","Default String Icon","","","","false","","","",""
"1075838981::577","XmlEvent",Column,"The raw XML data generated by database trigger.","XmlEvent","The raw XML data generated by database trigger.","XmlEvent","DatabaseLog","XmlEvent","","Non Primary Key","","xml","","Not Null","","","","","","","8","","","","","LONG TEXT","String","","8470830","","","","10","false","false","","","","8","8","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::581","ErrorLogID",Column,"Primary key for ErrorLog records.","ErrorLogID","Primary key for ErrorLog records.","ErrorLogID","ErrorLog,ErrorLogID","ErrorLogID","","Primary Key","","int","","Not Null","","","","","","","1","","","","","INTEGER","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::582","ErrorTime",Column,"The date and time at which the error occurred.","ErrorTime","The date and time at which the error occurred.","ErrorTime","ErrorLog","ErrorTime","","Non Primary Key","","datetime","","Not Null","","","","","","","2","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","2","2","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::583","UserName",Column,"The user who executed the batch in which the error occurred.","UserName","The user who executed the batch in which the error occurred.","UserName","ErrorLog","UserName","","Non Primary Key","","sysname","","Not Null","","","","","","","3","","","","","VARCHAR","String","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::584","ErrorNumber",Column,"The error number of the error that occurred.","ErrorNumber","The error number of the error that occurred.","ErrorNumber","ErrorLog","ErrorNumber","","Non Primary Key","","int","","Not Null","","","","","","","4","","","","","INTEGER","Number","","8470830","","","","10","false","false","","","","4","4","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::585","ErrorSeverity",Column,"The severity of the error that occurred.","ErrorSeverity","The severity of the error that occurred.","ErrorSeverity","ErrorLog","ErrorSeverity","","Non Primary Key","","int","","Null","","","","","","","5","","","","","INTEGER","Number","","8470830","","","","10","false","false","","","","5","5","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::586","ErrorState",Column,"The state number of the error that occurred.","ErrorState","The state number of the error that occurred.","ErrorState","ErrorLog","ErrorState","","Non Primary Key","","int","","Null","","","","","","","6","","","","","INTEGER","Number","","8470830","","","","10","false","false","","","","6","6","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::587","ErrorProcedure",Column,"The name of the stored procedure or trigger where the error occurred.","ErrorProcedure","The name of the stored procedure or trigger where the error occurred.","ErrorProcedure","ErrorLog","ErrorProcedure","","Non Primary Key","","nvarchar(126)","","Null","","","","","","","7","","","","","NVARCHAR(126)","String","","8470830","","","","10","false","false","","","","7","7","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::588","ErrorLine",Column,"The line number at which the error occurred.","ErrorLine","The line number at which the error occurred.","ErrorLine","ErrorLog","ErrorLine","","Non Primary Key","","int","","Null","","","","","","","8","","","","","INTEGER","Number","","8470830","","","","10","false","false","","","","8","8","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::589","ErrorMessage",Column,"The message text of the error that occurred.","ErrorMessage","The message text of the error that occurred.","ErrorMessage","ErrorLog","ErrorMessage","","Non Primary Key","","nvarchar(4000)","","Not Null","","","","","","","9","","","","","NVARCHAR(4000)","String","","8470830","","","","10","false","false","","","","9","9","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::595","DepartmentID",Column,"Primary key for Department records.","DepartmentID","Primary key for Department records.","DepartmentID","Department,DepartmentID,DepartmentID","DepartmentID","","Primary Key","","smallint","","Not Null","","","","","","","1","","","","","SMALLINT","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::596","Name",Column,"Name of the department.","Name","Name of the department.","Name","Department,Name,Department,Department","Name","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","NVARCHAR(50)","Name","","0","","","","10","false","false","","","","2","2","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","28","","Default String Icon","","","","false","","","",""
"1075838981::597","GroupName",Column,"Name of the group to which the department belongs.","GroupName","Name of the group to which the department belongs.","GroupName","Department,GroupName,GroupName","GroupName","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","3","","","","","NVARCHAR(50)","Name","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","48","","Default String Icon","","","","false","","","",""
"1075838981::598","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","Department","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","4","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","4","4","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::607","BusinessEntityID",Column,"Primary key for Employee records.  Foreign key to BusinessEntity.BusinessEntityID.","BusinessEntityID","Primary key for Employee records.  Foreign key to BusinessEntity.BusinessEntityID.","BusinessEntityID","Employee,BusinessEntityID,BusinessEntityID,BusinessEntityID,BusinessEntityID,Owner,EmployeeID,BusinessEntityID,BusinessEntityID,BusinessEntityID,BusinessEntityID,BusinessEntityID","BusinessEntityID","","Primary Key","","int","","Not Null","","","","","","","1","BusinessEntityID","FK_Employee_Person_BusinessEntityID (Person to Employee)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::608","NationalIDNumber",Column,"Unique national identification number such as a social security number.","NationalIDNumber","Unique national identification number such as a social security number.","NationalIDNumber","Employee,NationalIDNumber","NationalIDNumber","","Non Primary Key","","nvarchar(15)","","Not Null","","","","","","","2","","","","","NVARCHAR(15)","String","","0","","","","10","false","false","","","","2","2","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","17","","Default String Icon","","","","false","","","",""
"1075838981::609","LoginID",Column,"Network login.","LoginID","Network login.","LoginID","Employee,LoginID","LoginID","","Non Primary Key","","nvarchar(256)","","Not Null","","","","","","","3","","","","","NVARCHAR(256)","String","","0","","","","10","false","false","","","","3","3","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","44","","Default String Icon","","","","false","","","",""
"1075838981::610","OrganizationNode",Column,"Where the employee is located in corporate hierarchy.","OrganizationNode","Where the employee is located in corporate hierarchy.","OrganizationNode","Employee,OrganizationNode,OrganizationNode","OrganizationNode","","Non Primary Key","","hierarchyid","1","Null","","","","","","","4","","","","","LONG TEXT","_default_","","0","","","","10","false","false","","","","4","4","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default <unknown> Icon","","","","false","","","",""
"1075838981::611","OrganizationLevel",Column,"The depth of the employee in the corporate hierarchy.","OrganizationLevel","The depth of the employee in the corporate hierarchy.","OrganizationLevel","Employee,OrganizationLevel","OrganizationLevel","","Non Primary Key","","CHAR(18)","1","Null","","","","","","","5","","","","","CHAR(18)","String","","0","","","","10","false","false","","","","5","5","","([OrganizationNode].[GetLevel]())","","","Western","","","","","false","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","2","","Default String Icon","","","","false","","","",""
"1075838981::612","JobTitle",Column,"Work title such as Buyer or Sales Representative.","JobTitle","Work title such as Buyer or Sales Representative.","JobTitle","Employee,JobTitle,JobTitle,JobTitle","JobTitle","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","6","","","","","NVARCHAR(50)","String","","8470830","","","","10","false","false","","","","6","6","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","49","","Default String Icon","","","","false","","","",""
"1075838981::613","BirthDate",Column,"Date of birth.","BirthDate","Date of birth.","BirthDate","Employee","BirthDate","","Non Primary Key","","date","","Not Null","","","","","","","7","","","","","INTERVAL","Datetime","","8470830","","","","10","false","false","","","","7","7","","","","","Western","true","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::614","MaritalStatus",Column,"M = Married, S = Single","MaritalStatus","M = Married, S = Single","MaritalStatus","Employee","MaritalStatus","","Non Primary Key","","nchar(1)","","Not Null","","","","","","","8","","","","","NCHAR(1)","String","","8470830","","","","10","false","false","","","","8","8","","","","","Western","true","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::615","Gender",Column,"M = Male, F = Female","Gender","M = Male, F = Female","Gender","Employee","Gender","","Non Primary Key","","nchar(1)","","Not Null","","","","","","","9","","","","","NCHAR(1)","String","","8470830","","","","10","false","false","","","","9","9","","","","","Western","true","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::616","HireDate",Column,"Employee hired on this date.","HireDate","Employee hired on this date.","HireDate","Employee","HireDate","","Non Primary Key","","date","","Not Null","","","","","","","10","","","","","INTERVAL","Datetime","","8470830","","","","10","false","false","","","","10","10","","","","","Western","true","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::617","SalariedFlag",Column,"Job classification. 0 = Hourly, not exempt from collective bargaining. 1 = Salaried, exempt from collective bargaining.","SalariedFlag","Job classification. 0 = Hourly, not exempt from collective bargaining. 1 = Salaried, exempt from collective bargaining.","SalariedFlag","Employee","SalariedFlag","","Non Primary Key","","bit","","Not Null","","","","","","","11","","","","","SMALLINT","Flag","","8470830","","","","10","false","false","","","","11","11","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::618","VacationHours",Column,"Number of available vacation hours.","VacationHours","Number of available vacation hours.","VacationHours","Employee","VacationHours","","Non Primary Key","","smallint","","Not Null","","","","","","","12","","","","","SMALLINT","Number","","8470830","","","","10","false","false","","","","12","12","","","","","Western","true","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::619","SickLeaveHours",Column,"Number of available sick leave hours.","SickLeaveHours","Number of available sick leave hours.","SickLeaveHours","Employee","SickLeaveHours","","Non Primary Key","","smallint","","Not Null","","","","","","","13","","","","","SMALLINT","Number","","8470830","","","","10","false","false","","","","13","13","","","","","Western","true","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::620","CurrentFlag",Column,"0 = Inactive, 1 = Active","CurrentFlag","0 = Inactive, 1 = Active","CurrentFlag","Employee","CurrentFlag","","Non Primary Key","","bit","","Not Null","","","","","","","14","","","","","SMALLINT","Flag","","8470830","","","","10","false","false","","","","14","14","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::621","rowguid",Column,"ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","Employee,rowguid","rowguid","","Non Primary Key","","uniqueidentifier","","Not Null","","","","","","Yes","15","","","","","UNIQUEID","Number","","0","","","","10","false","false","","","","15","15","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::622","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","Employee","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","16","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","16","16","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::667","BusinessEntityID",Column,"Employee identification number. Foreign key to Employee.BusinessEntityID.","BusinessEntityID","Employee identification number. Foreign key to Employee.BusinessEntityID.","BusinessEntityID","EmployeeDepartmentHistory,BusinessEntityID,BusinessEntityID","BusinessEntityID","","Primary Key","","int","","Not Null","","","","","","","1","BusinessEntityID","FK_EmployeeDepartmentHistory_Employee_BusinessEntityID (Employee to EmployeeDepartmentHistory)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::668","DepartmentID",Column,"Department in which the employee worked including currently. Foreign key to Department.DepartmentID.","DepartmentID","Department in which the employee worked including currently. Foreign key to Department.DepartmentID.","DepartmentID","EmployeeDepartmentHistory,DepartmentID,DepartmentID","DepartmentID","","Primary Key","","smallint","","Not Null","","","","","","","2","DepartmentID","FK_EmployeeDepartmentHistory_Department_DepartmentID (Department to EmployeeDepartmentHistory)","","","SMALLINT","Number","","12470272","","","","10","false","false","","","","3","3","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::669","ShiftID",Column,"Identifies which 8-hour shift the employee works. Foreign key to Shift.Shift.ID.","ShiftID","Identifies which 8-hour shift the employee works. Foreign key to Shift.Shift.ID.","ShiftID","EmployeeDepartmentHistory,ShiftID,ShiftID","ShiftID","","Primary Key","","tinyint","","Not Null","","","","","","","3","ShiftID","FK_EmployeeDepartmentHistory_Shift_ShiftID (Shift to EmployeeDepartmentHistory)","","","BYTE","Number","","12470272","","","","10","false","false","","","","4","4","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::670","StartDate",Column,"Date the employee started work in the department.","StartDate","Date the employee started work in the department.","StartDate","EmployeeDepartmentHistory,StartDate,StartDate,StartDate","StartDate","","Primary Key","","date","","Not Null","","","","","","","4","","","","","INTERVAL","Datetime","","8470830","","","","10","false","false","","","","2","2","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
